gid,geom,cod_pcia,cod_depto,nom_depto,cod_ase,nombre,tipo,cod_aglo,nom_aglo,cod_agl,nom_agl,lat_gd,long_gd,lat_gs,long_gs,fuente
"2218",MULTIPOINT(-60.7337006950429 -34.197742429077),"06",Buenos Aires,Rojas,"06686060",Rojas,Localidad simple,"0151",Rojas,"060686",Rojas,"-34.197742","-60.733701","-34º11'52""","-60º44' 1""",INDEC
"11665",MULTIPOINT(-61.8897360595799 -32.4236315024218),"82",Santa Fe,Belgrano,"82007020",Bouquet,Localidad simple,"1145",Bouquet,"822007",Bouquet,"-32.423632","-61.889736","-32º25'25""","-61º53'23""",INDEC
"696",MULTIPOINT(-62.7599903896298 -37.1794832647306),"06",Buenos Aires,Adolfo Alsina,"06007010",Carhué,Localidad simple,"0283",Carhué,"060007",Adolfo Alsina,"-37.179483","-62.759990","-37º10'46""","-62º45'36""",INDEC
"697",MULTIPOINT(-63.1171563604927 -37.4490178803234),"06",Buenos Aires,Adolfo Alsina,"06007020",Colonia San Miguel Arcángel,Localidad simple,"1600",Colonia San Miguel Arcángel,"060007",Adolfo Alsina,"-37.449018","-63.117156","-37º26'56""","-63º 7' 2""",INDEC
"698",MULTIPOINT(-63.2343847273828 -37.3211075196649),"06",Buenos Aires,Adolfo Alsina,"06007030",Delfín Huergo,Localidad simple,"5043",Delfín Huergo,"060007",Adolfo Alsina,"-37.321108","-63.234385","-37º19'16""","-63º14' 4""",INDEC
"699",MULTIPOINT(-62.4383797934634 -37.3574109987361),"06",Buenos Aires,Adolfo Alsina,"06007040",Espartillar,Componente de localidad compuesta,"1209",Espartillar,"060007",Adolfo Alsina,"-37.357411","-62.438380","-37º21'27""","-62º26'18""",INDEC
"700",MULTIPOINT(-63.254311550389 -37.4558365111846),"06",Buenos Aires,Adolfo Alsina,"06007050",Esteban Agustín Gascón,Localidad simple,"2121",Esteban Agustín Gascón,"060007",Adolfo Alsina,"-37.455837","-63.254312","-37º27'21""","-63º15'16""",INDEC
"701",MULTIPOINT(-63.3664656038284 -36.6639203566646),"06",Buenos Aires,Adolfo Alsina,"06007060",La Pala,Localidad simple,"5013",La Pala,"060007",Adolfo Alsina,"-36.663920","-63.366466","-36º39'50""","-63º21'59""",INDEC
"702",MULTIPOINT(-63.3392811717819 -36.8003160533886),"06",Buenos Aires,Adolfo Alsina,"06007070",Maza,Localidad simple,"0884",Maza,"060007",Adolfo Alsina,"-36.800316","-63.339281","-36º48' 1""","-63º20'21""",INDEC
"703",MULTIPOINT(-63.2417897238929 -37.1605967438711),"06",Buenos Aires,Adolfo Alsina,"06007080",Rivera,Localidad simple,"0613",Rivera,"060007",Adolfo Alsina,"-37.160597","-63.241790","-37º 9'38""","-63º14'30""",INDEC
"704",MULTIPOINT(-63.2421735240119 -37.4613536392238),"06",Buenos Aires,Adolfo Alsina,"06007100",Villa Margarita,Localidad simple,"5054",Villa Margarita,"060007",Adolfo Alsina,"-37.461354","-63.242174","-37º27'41""","-63º14'32""",INDEC
"705",MULTIPOINT(-63.1320279056445 -36.9873204072125),"06",Buenos Aires,Adolfo Alsina,"06007110",Yutuyaco,Localidad simple,"2161",Yutuyaco,"060007",Adolfo Alsina,"-36.987320","-63.132028","-36º59'14""","-63º 7'55""",INDEC
"710",MULTIPOINT(-60.0993919276647 -38.0323707294767),"06",Buenos Aires,Adolfo Gonzales Chaves,"06014010",Adolfo Gonzales Chaves,Localidad simple,"0272",Adolfo Gonzales Chaves (Est. Chaves),"060014",Adolfo Gonzales Chaves,"-38.032371","-60.099392","-38º 1'57""","-60º 5'58""",INDEC
"711",MULTIPOINT(-60.4167854846589 -37.9665417279858),"06",Buenos Aires,Adolfo Gonzales Chaves,"06014020",De La Garma,Localidad simple,"0824",De La Garma,"060014",Adolfo Gonzales Chaves,"-37.966542","-60.416785","-37º57'60""","-60º25' 0""",INDEC
"712",MULTIPOINT(-60.48205544899 -37.8200386069869),"06",Buenos Aires,Adolfo Gonzales Chaves,"06014030",Juan E. Barra,Localidad simple,"2085",Juan E. Barra,"060014",Adolfo Gonzales Chaves,"-37.820039","-60.482055","-37º49'12""","-60º28'55""",INDEC
"713",MULTIPOINT(-60.1697910561822 -38.1758010070279),"06",Buenos Aires,Adolfo Gonzales Chaves,"06014040",Vásquez,Localidad simple,"5026",Vásquez,"060014",Adolfo Gonzales Chaves,"-38.175801","-60.169791","-38º10'33""","-60º10'11""",INDEC
"724",MULTIPOINT(-60.280286016609 -35.0315746230118),"06",Buenos Aires,Alberti,"06021010",Alberti,Localidad simple,"0315",Alberti (Est. Andrés Vaccarezza),"060021",Alberti,"-35.031575","-60.280286","-35º 1'54""","-60º16'49""",INDEC
"725",MULTIPOINT(-60.3929714439828 -34.8674400521518),"06",Buenos Aires,Alberti,"06021020",Coronel Seguí,Localidad simple,"2157",Coronel Seguí,"060021",Alberti,"-34.867440","-60.392971","-34º52' 3""","-60º23'35""",INDEC
"726",MULTIPOINT(-60.4034270101324 -35.0673861094949),"06",Buenos Aires,Alberti,"06021030",Mechita,Componente de localidad compuesta,"0781",Mechita,"060021",Alberti,"-35.067386","-60.403427","-35º 4' 3""","-60º24'12""",INDEC
"727",MULTIPOINT(-60.2219161413029 -35.1228959868708),"06",Buenos Aires,Alberti,"06021040",Pla,Localidad simple,"2059",Pla,"060021",Alberti,"-35.122896","-60.221916","-35º 7'22""","-60º13'19""",INDEC
